The Cure,The Head on the Door
CJ The X,Be Perfect or Die
Manchester Orchestra,The Valley Of Vision
clipping.,Visions of Bodies Being Burned
clipping.,There Existed An Addiction To Blood
Massive Attack,Ritual Spirit
American Football,American Football (Deluxe Edition)
De La Soul,3 Feet High and Rising
Fever Ray,Radical Romantics
Modest Mouse,The Moon & Antarctica
slowthai,UGLY
The Taxpayers,"God Forgive These Bastards" Songs From The Forgotten Life of Henry Turner
Bobby Womack,Fly Me To The Moon
Fontaines D.C.,Skinty Fia
Kali Uchis,Red Moon in Venus
Algiers,Shook
Sparklehorse,It's A Wonderful Life
The Blue Nile,A Walk Across the Rooftops (Deluxe Version)
The Blue Nile,Hats (Deluxe Version)
Fontaines D.C.,Dogrel
Banx & Ranx,Headphones
Tommy Genesis,all the bands
Tommy Genesis,world on fire
Shatterglass Sweetheart,Jealous
LUCY (Cooper B. Handy),February Motel
LUCY (Cooper B. Handy),Devoted
Modest Mouse,Good News For People Who Love Bad News
Blur,Modern Life Is Rubbish (Special Edition)
The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions)
Ethel Cain,Inbred
Café Tacvba,Avalancha de éxitos
Harlow Road,Flooding My Own Garden
Algiers,There Is No Year
Algiers,The Underside Of Power
Julien Baker,Little Oblivions
twenty one pilots,Scaled and Icy
Carly Rae Jepsen,E·mo·tion (Deluxe Expanded Edition)
Carly Rae Jepsen,Dedicated
Carly Rae Jepsen,The Loneliest Time
Carly Rae Jepsen,Dedicated Side B
Mazzy Star,So Tonight That I Might See
The Weeknd,Dawn FM
Fontaines D.C.,Jackie Down The Line
Fontaines D.C.,' Cello Song
A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)
JPEGMAFIA,All My Heroes Are Cornballs
Ethel Cain,Crush
The 8-Bit Big Band,Press Start!
Paramore,This Is Why
De La Soul,Buhloone Mindstate
De La Soul,De La Soul Is Dead
In Love With a Ghost,Playful Spirits
In Love With a Ghost,gay story
Cocteau Twins,Treasure
Cocteau Twins,The Moon And The Melodies
Xiu Xiu,Ignore Grief
My Chemical Romance,Three Cheers for Sweet Revenge
My Chemical Romance,Famous Last Words
The Cure,Kiss Me Kiss Me Kiss Me
Mdou Moctar,Afrique Victime
Mariachi Entertainment System,Hecho En Hyrule
Massive Attack,Spoils Come Near Me
The 8-Bit Big Band,Choose Your Character!
The 8-Bit Big Band,Backwards Compatible
HAIM,Women in Music Pt. III
Ethel Cain,Preacher’s Daughter
The Mountain Goats,Goths (Deluxe Version)
Purity Ring,Shrines
Pinegrove,Cardinal (Expanded Edition)
Bambara,Stray
Junebug,Kentucky Route Zero (Original Soundtrack)
Apes of the State,This City Isn't Big Enough
Neko Case,Fox Confessor Brings The Flood (Bonus Track Version)
Adrianne Lenker,Hours Were The Birds
mewithoutYou,[Untitled]
mewithoutYou,Brother Sister
Los Cojolites,Sembrando Flores
Interpol,Turn on the Bright Lights
Natalia Lafourcade,Un Canto por México Vol. 1
The Knife,Deep Cuts
Caroline Polachek,Desire I Want to Turn Into You
Phoebe Bridgers,Stranger in the Alps (Deluxe Edition)
Burial,Antidawn EP
Misfits,Walk Among Us
Grizzly Bear,Veckatimest
Portishead,Dummy
Loveboner,I'm a Lover I'm a Fighter I'm a Hawk
Massive Attack,Mezzanine
Danny Brown,Atrocity Exhibition
CHVRCHES,Over
Arctic Monkeys,The Car
SZA,SOS
Low,Things We Lost In the Fire
Cœur de Pirate,En cas de tempête ce jardin sera fermé.
Bobby Womack,Communication
Neutral Milk Hotel,Ferris Wheel on Fire
Lido Pimienta,Te Queria
Lido Pimienta,Miss Colombia
My Chemical Romance,The Foundations of Decay
My Chemical Romance,The Black Parade: The B-Sides
Kali Uchis,Moonlight
The Music Tapes,1st Imaginary Symphony for Nomad
Gorillaz,Cracker Island
Rage Against the Machine,The Battle of Los Angeles
Gabby's World,O.K.
Dolly Parton,Jolene
Thursday,No Devolución
Rage Against the Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
Thursday,Full Collapse
Murder By Death,Who Will Survive and What Will Be Left of Them?
L.S. Dunes,Past Lives
Leathermouth,XO
My Chemical Romance,The Black Parade
Evanescence,Fallen
Alison Krauss,O Brother Where Art Thou? (Original Motion Picture Soundtrack)
Young Fathers,Tape One
Young Fathers,Automatic / Dancing Mantaray
Young Fathers,Heavy Heavy
The Mountain Goats,In League With Dragons
The Mountain Goats,All Hail West Texas (Remastered)
Algiers,I Can't Stand It!
Michelle,After Dinner We Talk Dreams
Hop Along,Bark Your Head Off Dog
Harry Nilsson,Nilsson Schmilsson
Peaches,The Teaches of Peaches
Lin-Manuel Miranda,In The Heights (Original Broadway Cast Recording)
Nicole Dollanganger,Heart Shaped Bed
Murder By Death,Red Of Tooth And Claw
My Chemical Romance,Number Five
Buzzcocks,Operators Manual (Buzzcocks Best)
Operation Ivy,Operation Ivy (2007 Remaster)
Rammstein,Made In Germany 1995 - 2011 (Special Edition)
Against Me!,Transgender Dysphoria Blues
System of a Down,Toxicity
Green Day,Dookie
Napalm Death,The Best of Napalm Death
Paramore,RIOT!
Frank Iero,parachutes
Korn,Korn
Subhumans,The Day the Country Died
Anti-Flag,Mobilize
Against Me!,Shape Shift with Me
The Cure,Disintegration (2010 Remaster)
DEATH SPELLS,Nothing Above Nothing Below
Linqua Franqa,Bellringer
boygenius,the record
Lucy Dacus,Historian
my bloody valentine,Loveless
tricot,不出来
Bobby Womack,The Bravest Man in the Universe
Wilson Pickett,Hey Jude
